"id","name","image","pricecategory","description","rating"
22,"KFC","img/kfc.png","Közepes","Szendvics, Hamburger, Amerikai","4.5 / 5"
23,"Maláta Kézműves sör- és grill kert","img/malata.png","Drága","Grill, kézműves sörök","4.8 / 5"
19,"Duna Döner Szeged","img/dunadoner.png","Olcsó","Pizza Hamburger Török Grill ","4.7 / 5"
4,"Turbó Pizza","img/turbo.png","Olcsó"," Olasz Pizza Készpénzes fizetés","4.7 / 5"
20,"A Cappella Cukrászda","img/cappella.png","Olcsó","Szendvics Cukrászda Érintkezésmentes kiszállítás","4.6 / 5"
21,"RUYI ASIA","img/ruyi.png","Közepes"," Kínai Ázsiai Készpénzes fizetés","4.5 / 5"
